"","Loop","fWAR","WAR_1","WAR_2","WAR_3"
"1",1,0.28789731893273,0.405187993128273,0.285538950814988,0.28523779674774
"2",2,0.343469813700676,0.399064671278952,0.338538944951375,0.338454178618324
"3",3,0.35859407859091,0.335996911874998,0.355376657319434,0.354863479629415
"4",4,0.242662911016391,0.292194309916179,0.269819153182152,0.269789219799988
"5",5,0.137001534379951,1.14014928224905,0.0517248092503024,0.0447409488662291
"6",6,0.248220868263232,0.248144548137429,0.254753453505264,0.254745231952237
"7",7,0.277822963547264,0.349329706114676,0.291791707034202,0.291649729857633
"8",8,0.221842556807289,0.312605279818365,0.292978626077731,0.292627940668203
"9",9,0.287295476082667,0.433668578213966,0.30442633452614,0.304230054584279
"10",10,0.39358888335773,0.311567611935691,0.455409507987283,0.455362055177733
"11",11,0.439306799973423,0.263336561992758,0.50264746342717,0.502106353310687
"12",12,0.306344820665066,0.237173064221107,0.329023072566215,0.328848131787842
"13",13,0.365056427676871,0.189370317635431,0.372981877793108,0.372996239995772
"14",14,0.279267063785305,0.24135852967614,0.316831808991871,0.316632602129395
"15",15,0.226740671806698,0.540635328318168,0.159898441861996,0.15967965899915
"16",16,0.33447078012788,0.318836140310736,0.360066544517114,0.35982048524129
"17",17,0.245232969496862,0.402725227223206,0.275323688955489,0.275161982291375
"18",18,0.156592820161142,0.130562436500746,0.173339278868427,0.173332328079263
"19",19,0.37360798818709,0.187678479068597,0.411163071279649,0.411082965126225
"20",20,0.368576560953796,0.401262049613471,0.406888846191543,0.406687544635313
"21",21,0.281524163164807,0.321604689678374,0.296299218856172,0.296218817410421
"22",22,0.337025782453483,0.0964733270596689,0.372573444268342,0.372592417201328
"23",23,0.356810569124923,0.366095716593519,0.384583106987109,0.38394315688559
"24",24,0.254311855757098,0.142475775989824,0.305565007091013,0.305575099841524
"25",25,0.364529476250458,0.173524521955774,0.54977981740489,0.548671532587919
"26",26,0.260309551294475,0.341986012689681,0.297496092042882,0.297433725722942
"27",27,0.234937159075287,0.473247344254021,0.261206799794543,0.260754731746312
"28",28,0.272116043019027,0.329687159891059,0.294522957907013,0.294457472846995
"29",29,0.295292702852265,0.305424472964406,0.321704445095906,0.321596622770336
"30",30,0.312873612245865,0.350339659134175,0.295625668840891,0.295449747019766
"31",31,0.181777197237602,0.250516331687278,0.176683746514473,0.176653942338486
"32",32,0.178719798015186,0.318553529021043,0.204454683662994,0.204325961258785
"33",33,0.247183965699153,0.297049454625737,0.263270268873491,0.263266606927507
"34",34,0.249222702220173,0.272758309919619,0.269418132483997,0.269360633484905
"35",35,0.0916387749755907,0.703869978819731,0.142466948346079,0.141023083833516
"36",36,0.337318083970627,0.265466057325237,0.341462964930128,0.341449183042436
"37",37,0.287767299105051,0.222402812249165,0.327178589486046,0.3271761011595
"38",38,0.35036615797027,0.233730560263345,0.384476359244347,0.384488815201567
"39",39,0.205283438510691,0.267472377350783,0.206892617732344,0.206846388552391
"40",40,0.201788982454369,0.196862594133155,0.246881144520917,0.246836682847738
"41",41,0.158562932623592,0.128924817693303,0.192111932708266,0.192104969358919
"42",42,0.284245620287302,0.390738546786553,0.300429680224759,0.300266769210733
"43",43,0.0274244155068246,1.00230759217019,0.248693063742968,0.244249599261683
"44",44,0.184663019402554,0.357902344920968,0.192569378732871,0.192494811934273
"45",45,0.266276659445246,0.177021936368073,0.337935638795255,0.337802509244479
"46",46,0.238066158123156,0.147492928610295,0.280970232816706,0.280983511456973
"47",47,0.256200969883443,0.244712502891167,0.289736100179148,0.289648481719123
"48",48,0.385893219909409,0.306314662505173,0.465707606809609,0.465562697249199
"49",49,0.345226060597971,0.466080975434082,0.334662828236893,0.334265171281153
"50",50,0.288468212288135,0.314959191408963,0.335585119691394,0.335417172355746
"51",51,0.148259667183195,0.288627967688321,0.162535433080414,0.162534855005517
"52",52,0.371309705642045,0.240488991732727,0.432038927789868,0.431978237151673
"53",53,0.294364307173537,0.321790547747146,0.357736853826671,0.357333302806895
"54",54,0.338934284254734,0.351974757089779,0.351170844930754,0.350759828050666
"55",55,0.249765787169236,0.227883838104934,0.257678291831549,0.257626786868491
"56",56,0.251433608844242,0.452100162410636,0.230584208123102,0.230110320996615
"57",57,0.353140989000155,0.514733732842823,0.366095127211146,0.365752079817375
"58",58,0.304287324069196,0.248576745189051,0.337686295962933,0.337622874359504
"59",59,0.288356789961802,0.239437895992573,0.338337175960097,0.33816037479153
"60",60,0.374748939956772,0.313753589089075,0.425110360837631,0.424640632292294
"61",61,0.209185631186654,0.209334789642822,0.237184477272852,0.237135805769714
"62",62,0.222350100263631,0.248962044594561,0.245464696653604,0.245469747204105
